統一編號,商業名稱,商業地址,設立日期,Longitude,Latitude
00549670,解手癢夾娃娃機店,臺北市松山區饒河街211號,1140401,121.576412,25.050895
00549685,樂福滿生活商行,臺北市信義區松隆路3號5樓,1140401,121.566447,25.043496
00549778,神奇映像娛樂工作室,臺北市大安區大安路1段224巷11號,1140401,121.545368,25.034013
00549881,小日子花店,臺北市文山區指南路3段52號3樓之1,1140401,121.580716,24.981874
00549897,勝和百貨商行,臺北市信義區忠孝東路五段1之2號5樓,1140401,121.564964,25.041298
00549904,宏陽商行,臺北市松山區新東街27號,1140401,121.565843,25.058848
00549910,上禾髮藝,臺北市萬華區內江街55巷20號1樓,1140401,121.505251,25.042493
00549926,鈞盞水電工程,臺北市信義區國業里松德路65號11樓之2,1140401,121.576649,25.038527
00549931,食旅文化工作室,臺北市大安區復興南路1段243號11樓之1,1140401,121.543885,25.037208
00549947,家禾小吃店,臺北市大安區通化街45號,1140401,121.554327,25.030771
00549952,森滙商行,臺北市南港區玉成街66之8號地下一層,1140401,121.581809,25.046886
00549968,育宏雞排店,臺北市中山區遼寧街37號,1140401,121.542231,25.048575
00549974,調性音樂工作室,臺北市中山區復興北路48號7樓,1140401,121.54376,25.049537
00549989,米施商行,臺北市南港區經貿一路170號2樓之7,1140401,121.618407,25.057825
00549995,安軒企業社,臺北市信義區基隆路1段143號11樓之4,1140401,121.565797,25.042902
00550009,圓周企業社,臺北市信義區基隆路1段143號11樓之4,1140401,121.565797,25.042902
00550015,雅瑟商行,臺北市信義區基隆路1段143號11樓之4,1140401,121.565797,25.042902
00550021,楓潤企業社,臺北市信義區基隆路1段143號11樓之4,1140401,121.565797,25.042902
00550036,獻忠家禽行,臺北市松山區民族東路410巷16號,1140401,121.538242,25.066361
00550042,永春虎林蔬食,臺北市信義區虎林街119巷21號1樓,1140401,121.577501,25.042157
00550057,姆姆運動管理企業社,臺北市大同區承德路一段66號3樓,1140401,121.517149,25.052049
00549502,月海計劃工作室,臺北市信義區忠孝東路5段790巷70弄12號,1140402,121.58309,25.040253
00550063,綠色山脈生技髮妝用品社,臺北市北投區立農街1段279巷2弄1號1樓,1140402,121.506175,25.119717
00550079,泰初安安商行,臺北市大安區復興南路1段122巷6號1樓,1140402,121.542984,25.043524
00550084,芊瑋工程行,臺北市大安區忠孝東路4段148號7樓,1140402,121.54991,25.041298
00550090,炸青家商行,臺北市內湖區內湖路1段737巷76號1樓,1140402,121.579123,25.081434
00550107,壹森壹史商號,臺北市松山區八德路4段453巷14號1樓,1140402,121.570299,25.050467
00550113,日初烘焙工作室,臺北市士林區士東路286巷3弄4號1樓,1140402,121.53764,25.112801
00550129,神助企業社,臺北市中山區復興北路164號4樓,1140402,121.54386,25.053471
00550134,品盛冷氣行,臺北市內湖區新明路460巷17弄3號2樓,1140402,121.578607,25.05469
00550140,榮朔企業社,臺北市松山區新東街30巷42之1號1樓,1140402,121.567676,25.059698
00550155,信秈珈琲商行,臺北市大安區和平東路3段228巷23號1樓,1140402,121.554098,25.021353
00550161,半隱半藏工作室,臺北市大同區南京西路57號5樓之9,1140402,121.519354,25.053083
00550177,金彩真日本料理店,臺北市松山區南京東路5段4號,1140402,121.558218,25.051344
00550182,岳谷和屋,臺北市中山區吉林路26巷26號1樓,1140402,121.529172,25.051411
00550198,阿財修理皮鞋店,臺北市萬華區內江街9號公有西門市場55號攤位,1140402,121.506684,25.041594
00550205,尚相工作室,臺北市大安區和平東路3段276號,1140402,121.555837,25.021025
00550211,開心喝企業社,臺北市中正區羅斯福路3段282號,1140402,121.532124,25.016484
00550227,金煥工藝坊,臺北市中正區重慶南路3段128之1號1樓,1140402,121.516565,25.024379
00550232,彭鑫電機工程行,臺北市大安區復興南路1段352號2樓之2,1140402,121.543392,25.03562
00550248,俐妃食坊,臺北市大安區正聲里光復南路346 巷80 號1樓,1140402,121.55548,25.038494
00550520,比毛毛企業社,臺北市南港區三重路19之10號2樓,1140402,121.613519,25.058139
00577611,泰姆咖塔商行,臺北市萬華區開封街2段66之2號1樓,1140402,121.506164,25.046619
00581220,君和設計工作室,臺北市大安區光復南路612號7樓,1140402,121.557294,25.032382
00581278,理饗廚房工作室,臺北市中山區民權東路2段92巷2弄1號1樓,1140402,121.531668,25.061702
00581283,李鑫茶行,臺北市中山區民權東路2段92巷2弄1號1樓,1140402,121.531668,25.061702
00527486,碧蓮美式炸雞店,臺北市南港區中坡北路30巷1號1樓,1140407,121.580877,25.045802
00550253,安閔秀商行,臺北市松山區新東街38號1樓,1140407,121.565585,25.06091
00550269,中山漁店,臺北市中山區長安西路3號1樓83號攤位,1140407,121.521201,25.050163
00550275,築建工程行,臺北市萬華區青年路168巷42號5樓之1,1140407,121.501641,25.019902
00550280,牛殿下秘傳金湯牛肉麵館,臺北市大安區忠孝東路4段97號地下之20,1140407,121.547955,25.041754
00550296,園藝先生植務社,臺北市內湖區內湖路2段355巷7弄7號4樓,1140407,121.592304,25.084159
00550303,巷弄四十一紅茶店,臺北市松山區南京東路5段59巷29弄41號1樓,1140407,121.560619,25.053093
00550319,小花序章企業社,臺北市大安區辛亥路二段43號,1140407,121.536398,25.022821
00550325,原聚企業社,臺北市大安區敦化南路1段177巷10號,1140407,121.549734,25.042957
00550330,錦衣玉食商行,臺北市中正區羅斯福路1段61號11樓,1140407,121.519341,25.031616
00550346,永森聚落企業社,臺北市中山區民生東路2段115巷16號1樓,1140407,121.531592,25.058736
00550351,樂玩禮品店,臺北市萬華區武昌街2段17號1樓,1140407,121.508132,25.044525
00550367,銀鹽沖印二階社,臺北市大同區南京西路25巷6號2樓,1140407,121.520294,25.054114
00550373,鑫億交通器材行,臺北市大同區錦西街65巷42號1樓,1140407,121.514846,25.060739
00550388,睫毛上癮工作室,臺北市文山區景文街107號4樓,1140407,121.541282,24.990675
00550394,稟昱實業社,臺北市信義區忠孝東路五段1之8號2樓,1140407,121.565175,25.041293
00550401,留百味企業社,臺北市信義區光復南路473巷29號,1140407,121.558948,25.033712
00550417,婕宸企業社,臺北市中正區汀州路2段188號,1140407,121.523079,25.022922
00550423,禾曉悅餐坊,臺北市大安區復興南路1段107巷40號,1140407,121.545976,25.043489
00550438,阿掌工作室,臺北市大安區建安里忠孝東路4段169號6樓之1,1140407,121.550421,25.041705
00550459,金好越南麵包,臺北市內湖區康樂街74巷2號,1140407,121.618703,25.06979
00550465,立益食品行,臺北市中山區民生東路2段115巷1號1樓,1140407,121.531692,25.058174
00550471,金寶輕食館,臺北市信義區中興里信義路四段450巷3號,1140407,121.55853,25.032351
00550486,好樣燒臘,臺北市內湖區江南街116巷1號1樓,1140407,121.576098,25.07665
00550492,豐興商行,臺北市大同區歸綏街97巷20號,1140407,121.515821,25.059435
00550508,宜群健康整復工作室,臺北市大安區敦化南路1段344號7樓,1140407,121.548446,25.034738
00550514,實一室內裝修設計,臺北市中山區北安路633號1樓,1140408,121.548991,25.083551
00550535,老芋食品行,臺北市大安區安和路2段171巷19號1樓,1140408,121.550717,25.028153
00550541,阿娥食品行,臺北市大同區延平北路3段61之3號1樓,1140408,121.511142,25.065759
00550556,老弄堂,臺北市信義區莊敬路391巷10號1樓,1140408,121.565822,25.028099
00550562,苒物工作室,臺北市松山區復建里八德路3段218號7樓,1140408,121.556907,25.047992
00550578,動感光波工作室,臺北市大安區復興南路1段352號2樓之2,1140408,121.543392,25.03562
00550583,水果大王水果專賣店,臺北市內湖區內湖路1段737巷51弄1之1號1樓,1140408,121.579171,25.08033
00550599,銓吉小吃店,臺北市士林區小東街22號1樓,1140408,121.526234,25.089113
00550606,室相行,臺北市中山區長安東路2段169號4樓,1140408,121.54073,25.048421
00550612,利沅企業社,臺北市信義區松德路161號13樓之2,1140408,121.574837,25.036394
00550633,葉子工作室,臺北市大安區敦化南路1段187巷75號1樓,1140408,121.552569,25.042625
00550649,真正宗雲泰料理餐廳,臺北市中正區四平街99號1樓,1140408,121.535452,25.053688
00550654,蘇加宣影像工作室,臺北市南港區忠孝東路6段212巷3弄1號3樓,1140408,121.587607,25.048151
00550660,祐丞企業社,臺北市松山區南京東路5段250巷36弄12號,1140408,121.566603,25.049524
00550676,鈁袨美妍室,臺北市中山區民權東路2段92巷1弄3號1樓,1140408,121.531859,25.061617
00583634,南滷商行,臺北市松山區南京東路4段133巷9弄1號1樓,1140408,121.555254,25.053056
00550681,來抓我企業社,臺北市北投區崇仁路1段63號1樓,1140409,121.501498,25.126778
00550697,蔡承顥個人小貨車搬家企業社,臺北市松山區南京東路5段389巷11弄10號,1140409,121.569578,25.052275
00550704,定美克昕造型工作室,臺北市信義區信義路4段415號14樓之1,1140409,121.559235,25.033304
00550710,叩叩甜甜點工作室,臺北市大安區通化街39巷3號1樓,1140409,121.55452,25.030963
00550726,翔敏越式洗髮工作室,臺北市南港區八德路4段838號,1140409,121.582221,25.051248
00550731,利秘雅國際貿易企業社,臺北市松山區富錦街527號,1140409,121.565191,25.061205
00550747,心鮮嚴選果物行,臺北市中山區新生北路2段101巷17號,1140409,121.52853,25.057468
00550752,徐如意工作室,臺北市大安區仁愛路3段26號5樓,1140409,121.535746,25.037648
00550768,紅樓手機維修站,臺北市萬華區漢口街2段90巷2號1樓,1140409,121.504247,25.046047
00550774,泱白設計室內裝修工作室,臺北市中正區黎明里南陽街24號2樓,1140409,121.516026,25.044362
00550789,翡閣麗珠寶社,臺北市中正區許昌街42號8樓,1140409,121.51546,25.045451
