地點名稱,縣市,行政區,置物櫃位置,經度,緯度,置物櫃數量,置物櫃空位
七張,新北市,新店區,近出口1,121.543068,24.975025,10,9
三和國中,新北市,三重區,近出口2,121.486398,25.076586,10,9
三民高中,新北市,蘆洲區,近出口2,121.472714,25.085692,10,10
三重國小,新北市,三重區,近出口,121.4967021,25.0706459,10,10
三重站,新北市,三重區,出口1,121.4833034,25.05535171,20,17
中山國中,臺北市,中山區,近出口,121.5439794,25.06082643,18,16
中山國小,臺北市,中山區,近出口4,121.526095,25.06284,10,10
中山站,臺北市,大同區,出口1,121.520303,25.052414,50,43
中正紀念堂站,臺北市,中正區,近出口6,121.516543,25.03588,20,19
丹鳳,新北市,新莊區,近出口1,121.42231,25.02899,10,10
亞東醫院,新北市,板橋區,近出口3,121.452581,24.998933,10,1
信義安和,臺北市,大安區,近出口5轉折平台,121.552602,25.033377,10,6
先嗇宮,新北市,三重區,近出口3,121.471319,25.046497,12,12
內湖,臺北市,內湖區,近出口1,121.594266,25.083745,10,6
公館站,臺北市,中正區,近出口2,121.534721,25.014718,24,24
六張犁,臺北市,大安區,近出口,121.552737,25.023852,10,6
劍南路,臺北市,中山區,近出口2,121.5553542,25.08548437,10,10
劍潭,臺北市,士林區,近出口1,121.525175,25.08503,78,69
動物園站,臺北市,文山區,出口2,121.579321,24.997971,24,23
北投站,臺北市,北投區,車站大廳層,121.4981189,25.1323269,12,11
北門站,臺北市,大同區,機場捷運通道轉角牆面(近台北地下街連通道),121.509986,25.048861,24,21
南京三民,臺北市,松山區,近出口1,121.563203,25.051633,10,9
南京復興,臺北市,松山區,近出口5,121.542121,25.052625,10,9
南勢角,新北市,中和區,近出口2,121.507876,24.99052883,10,9
南港,臺北市,南港區,近出口2,121.6158607,25.06038509,10,9
南港展覽館站,臺北市,南港區,出口2A,121.6171997,25.05533633,50,42
南港軟體園區,臺北市,內湖區,近出口1,121.6158607,25.06038509,10,4
古亭,臺北市,中正區,近出口4,121.522973,25.025976,10,10
台北101/世貿站,臺北市,信義區,出口2,121.563292,25.033102,18,3
台北101/世貿站,臺北市,信義區,出口4之轉接層通道,121.563292,25.033102,32,0
台北小巨蛋,臺北市,松山區,近出口2,121.55153,25.051836,10,9
台北橋,新北市,三重區,近出口,121.500281,25.062966,10,10
台北車站,臺北市,中正區,M3出口往臺鐵無障礙坡道旁,121.517882,25.046337,80,71
台北車站,臺北市,中正區,捷運高鐵連通處,121.516246,25.046755,28,26
台大醫院,臺北市,中正區,近出口4,121.515731,25.040913,10,10
台電大樓,臺北市,中正區,近出口5,121.528577,25.01962,10,10
唭哩岸,臺北市,北投區,近出口1,121.5069183,25.12070935,10,10
善導寺,臺北市,中正區,近出口2,121.523009,25.045097,10,9
國父紀念館站,臺北市,信義區,近出口2,121.556704,25.041029,32,4
圓山,臺北市,士林區,近出口2,121.520033,25.070785,56,47
土城,新北市,土城區,近出口2,121.444173,24.973251,10,9
士林站,臺北市,士林區,近出口1,121.525966,25.094106,43,37
大坪林,新北市,新店區,近出口1,121.540874,24.982754,10,9
大安,臺北市,大安區,近出口1、2轉折平台,121.5420001,25.03360186,10,5
大安森林公園站,臺北市,大安區,近出口5,121.535989,25.033369,20,12
大橋頭,新北市,大同區,近出口1,121.5117348,25.06333204,10,9
大湖公園,臺北市,內湖區,近出口2,121.602377,25.083894,10,6
大直,臺北市,中山區,近出口2,121.5469257,25.08036069,10,10
奇岩,臺北市,北投區,近出口,121.5009856,25.12611852,10,10
小南門,臺北市,中正區,近出口3/4,121.509752,25.036434,10,9
小碧潭,新北市,新店區,近出口1,121.529896,24.971803,12,11
市政府,臺北市,信義區,近出口4,121.565459,25.041408,34,3
府中站,新北市,板橋區,出口2,121.459501,25.008943,50,2
後山埤,臺北市,南港區,近出口1,121.58141,25.044422,10,10
徐匯中學,新北市,蘆洲區,近出口2,121.47988,25.080303,10,10
復興崗,臺北市,北投區,近出口1,121.4854068,25.137665,12,11
忠孝復興站,臺北市,大安區,3F文湖線大廳層,121.543143,25.041797,28,13
忠孝敦化站,臺北市,大安區,近出口5,121.549824,25.041238,28,13
忠孝新生,臺北市,大安區,近出口4,121.532065,25.042103,22,12
忠義,臺北市,北投區,近出口1,121.473169,25.131056,12,11
文德,臺北市,內湖區,近出口2,121.58564,25.078671,12,5
新北投站,臺北市,北投區,車站大廳層,121.503524,25.136968,44,42
新埔站,新北市,板橋區,出口4(近三猿廣場),121.468728,25.023638,28,2
新店區公所,新北市,新店區,近出口1,121.541124,24.967393,10,9
新店站,新北市,新店區,車站大廳層,121.53758,24.95784,12,11
新莊,新北市,新莊區,近出口2,121.4524435,25.03630271,10,10
昆陽,臺北市,南港區,近出口2,121.592726,25.050319,10,10
明德,臺北市,北投區,近出口,121.519153,25.109298,10,9
景安,新北市,中和區,近出口,121.50456,24.993731,10,10
景美,臺北市,文山區,近出口2,121.5406932,24.99213264,10,9
木柵,臺北市,文山區,近出口,121.573417,24.998174,12,10
東湖,臺北市,內湖區,近出口3,121.6108991,25.067189,10,6
東門站,臺北市,大安區,出口5旁走道,121.529506,25.033564,48,23
松山機場,臺北市,松山區,近詢問處,121.5520427,25.0636308,10,10
松山站,臺北市,松山區,近出口5,121.577782,25.050559,24,23
松江南京,臺北市,中山區,近出口8,121.532388,25.051842,10,9
板橋站,新北市,板橋區,通道層近3A出口,121.461838,25.0133143,32,1
民權西路,臺北市,大同區,近出口1,121.519454,25.062641,10,9
永安市場,新北市,中和區,近出口,121.510962,25.002375,10,9
永寧,新北市,土城區,近出口1,121.4355625,24.966641,10,9
永春,臺北市,信義區,近出口5,121.57512,25.040995,10,0
江子翠,新北市,板橋區,近出口3,121.471914,25.030298,10,0
海山,新北市,土城區,近出口2,121.4486097,24.9853885,10,10
淡水站,新北市,淡水區,北川堂(近出口1),121.445502,25.168266,63,8
淡水站,新北市,淡水區,南川堂(近出口2),121.4457904,25.16776197,48,5
港墘,臺北市,內湖區,近出口1,121.5758005,25.08013028,10,4
石牌,臺北市,北投區,近出口1,121.5152545,25.1149633,10,9
科技大樓,臺北市,大安區,近出口,121.543636,25.026154,10,5
竹圍,新北市,淡水區,近出口1,121.459713,25.136949,10,1
紅樹林,新北市,淡水區,近出口1,121.4590331,25.15449713,10,1
芝山,臺北市,士林區,近出口1,121.522636,25.102046,10,9
菜寮,新北市,三重區,近出口1,121.490673,25.05971,10,9
萬芳社區,臺北市,文山區,近出口,121.5684087,24.99858101,12,10
萬芳醫院,臺北市,文山區,近出口,121.557737,24.999383,10,10
萬隆,臺北市,文山區,近出口4,121.538896,25.001367,10,10
葫洲,臺北市,內湖區,近出口1,121.6080683,25.0725096,12,7
蘆洲,新北市,蘆洲區,近出口1,121.4647333,25.0913266,10,9
行天宮,臺北市,中山區,近出口4,121.533047,25.05810168,10,10
西湖,臺北市,內湖區,近出口1,121.566647,25.082339,10,4
西門站,臺北市,中正區,出口2,121.508435,25.041545,112,106
西門站,臺北市,中正區,出口5,121.508789,25.042935,54,53
象山站,臺北市,信義區,近出口2,121.569921,25.032375,24,0
輔大,新北市,新莊區,近出口2,121.435264,25.032932,10,10
辛亥,臺北市,文山區,近出口,121.557021,25.005119,12,12
迴龍,新北市,新莊區,近出口3,121.411195,25.021829,10,10
關渡,臺北市,北投區,近出口1,121.467215,25.125431,10,10
雙連,臺北市,大同區,近出口2,121.520588,25.057499,10,9
頂埔,新北市,土城區,近出口4,121.4183364,24.9593267,10,9
頂溪,新北市,永和區,近出口2,121.515414,25.012895,10,10
頭前庄,新北市,新莊區,近出口2,121.460303,25.039844,10,10
麟光,臺北市,大安區,近出口,121.558606,25.018554,12,5
龍山寺,臺北市,萬華區,近出口2,121.49953,25.035484,10,5
