項次,地區,經度X,緯度Y,設置地點,街道名稱,排班格位,排班時間
1,士林,121.533613,25.112269,士林地方法院,士東路200巷口西側以南10公尺外,7,週一至週五8~18
2,士林,121.519255,25.095862,新光醫院(基河路美崙街口),基河路美崙街口,13,8~18
3,士林,121.550232,25.100212,故宮博物院前停車彎西側,至善路(台灣創價學會對面),4,8~21
4,士林,121.550589,25.100444,原住民公園(故宮),至善路258號對面,3,8~18
5,士林,121.534667,25.117281,國泰世華銀行,忠誠路2段247號,1,周一至周五9~18
6,士林,121.531062,25.112087,大葉高島屋,忠誠路2段55號,4,周一至周五11~23
7,士林,121.514398,25.094424,士林監理站,承德路5段80號(正門口南側),2,週一至週五9~17
8,士林,121.546471,25.138051,山仔后(共乘站位),格致路與愛富一街交叉口,3,0~24
9,士林,121.525875,25.093921,捷運士林站1號出口,美德街,5,0~24
10,士林,121.526207,25.092867,捷運士林站2號出口西側,2號出口西側停車彎內,2,7~17
11,士林,121.522704,25.102427,捷運芝山站東側停車彎,福華路160號對面,12,0~24
12,士林,121.525236,25.084919,捷運劍潭站1號出口(共乘3格.普通1格),基河路(捷運1號出口停車彎),4,0~24
13,士林,121.531454,25.104652,聯合醫院陽明院區急診室外,雨聲街105號,2,週一至週六8~19
14,士林,121.531750,25.105287,聯合醫院陽明院區急診室外東側,雨聲街105號,5,週一至週六8~19
15,士林,121.534474,25.117671,新光三越天母店,忠誠路2段206號,4,0~24
16,士林,121.529459,25.112161,士東市場,士東路100號,2,7~15
17,士林,121.523924,25.087808,士林市場對面,基河路(承德路4段179巷口以南),1,15~01
18,士林,121.535015,25.116741,啟明學校,忠誠路2段207巷1號,3,周一至周五9~17
19,士林,121.523557,25.088582,士林十全排骨,基河路131號,2,15~01
20,士林,121.524897,25.086004,臺北藝術中心,基河路(百齡高中停車場出口西側),5,0~24
21,大同,121.520679,25.057571,捷運雙連站1號出口,民生西路(捷運出口前),2,0~24
22,大同,121.520312,25.057559,捷運雙連站1號出口左側,民生西路76號,4,0~24
23,大同,121.518413,25.071752,元大商業銀行,承德路3段212號,2,周一至周五9~18
24,大同,121.512979,25.074055,啟聰學校北側,重慶北路3段320號北側,3,0~24
25,大同,121.513700,25.074808,啟聰學校(市立圖書館大同分館),重慶北路3段318號,3,0~24
26,大同,121.508853,25.050589,聯合醫院中興院區,鄭州路145號（市民大道）,5,9~17
27,大同,121.513732,25.063373,捷運大橋頭站,重慶北路三段5號(民權國中旁),1,9~16
28,大同,121.510377,25.049844,捷運北門站,塔城街8號(3號出口旁),4,0~24
29,大同,121.509406,25.050816,聯合醫院中興院區,鄭州路145號,2,0~24
30,大安,121.533724,25.042094,凱統飯店(捷運忠孝新生站3號出口),忠孝東路3段8號,2,0~24
31,大安,121.548357,25.021606,敦南大樓,敦化南路2段93號,3,0~24
32,大安,121.549052,25.028671,敦南大樓,敦化南路2段101號,1,9~19
33,大安,121.545224,25.037512,聯合醫院仁愛院區,仁愛路4段10號,9,0~24
34,大安,121.546595,25.038294,宏恩醫院,仁愛路4段61號,4,8~20
35,大安,121.541145,25.037611,芙蓉大廈,仁愛路3段136號,2,週一至週五8~19
36,大安,121.541485,25.021563,中央百世大樓,辛亥路2段185號,4,週一至週五8~19
37,大安,121.545257,25.042343,SOGO百貨忠孝館,忠孝東路4段49巷,3,11~22
38,大安,121.549316,25.025786,遠東國際商業銀行,敦化南路2段209號,2,周一至周五9~18
39,大安,121.548265,25.021726,國泰人壽臺北國際大樓,敦化南路2段218號,2,週一至週五8~18
40,大安,121.549193,25.030799,葉財記世貿大樓一銀世貿分行,敦化南路2段65號,1,週一至週五9~18
41,大安,121.548220,25.029586,新鑽石大廈,敦化南路2段70號,2,週一至週五8~18
42,大安,121.548357,25.021606,敦南商業大樓,敦化南路2段基隆路口,3,週一至週五9~18
43,大安,121.551018,25.041600,現代大廈(鄰捷運忠孝敦化站),忠孝東路4段189號,7,0~24
44,大安,121.535252,25.033687,經濟部工業局,信義路3段41-3號,2,0~24
45,大安,121.534537,25.033443,大安森林公園北側,信義路3段,4,0~24
46,大安,121.543041,25.033248,大安站,信義路3段,2,0~24
47,大安,121.552974,25.033066,信義安和站,信義安和路口東南側停車彎(信義路4段236號前),1,0~24
48,大安,121.543586,25.026059,捷運科技大樓站出口,復興南路,1,0~24
49,大安,121.549278,25.034091,慕軒飯店,敦化南路1段331號,2,0~24
50,大安,121.537932,25.044565,忠泰美術館,市民大道3段178號,2,0~24
51,中山,121.526779,25.062535,捷運中山國小站2號出口西側,民族東路36號,2,0~24
52,中山,121.556916,25.083937,美麗華購物中心,植福路,4,11~23
53,中山,121.535039,25.062331,第一殯儀館停車場對面,民權東路2段158號前,1,週一至週五9~17(7-9時與17-19禁停)
54,中山,121.533139,25.053383,味全大樓(捷運松江南京站7號出口),松江路127號前,2,周一至周五9~18
55,中山,121.519354,25.062782,捷運民權西路站1號出口西側,民權西路72號前,6,0~24
56,中山,121.544059,25.060769,捷運中山國中站,復興北路,2,0~24
57,中山,121.542376,25.048338,長安東路遼寧街口,長安東路2段175號,2,周一至周五9~17
58,中山,121.533293,25.059888,捷運行天宮站3號出口,松江路261號前,5,0~24(7-9時與17-20禁停)
59,中山,121.526396,25.062593,捷運中山國小站2號出口,新興國中北側臨停彎,2,0~24
60,中山,121.521108,25.052281,新光三越南西店一館(捷運中山站2號出口),南京西路12號,5,10~22
61,中山,121.520717,25.052671,新光三越南西店三館(原衣蝶百貨、捷運中山站3號出口),南京西路15號,4,10~23
62,中山,121.537424,25.066957,濱江果菜批發市場,民族東路410巷2弄20號,4,11~20
63,中山,121.554356,25.080465,美福飯店東側,敬業二路(樂群二路至敬業一路36巷間西側),3,11~23
64,中山,121.543875,25.060952,捷運中山國中站,復興北路376號前,2,0~24
65,中山,121.560006,25.083450,台北大直英迪格酒店,植福路200號,2,11~23
66,中正,121.508701,25.042708,捷運西門站6號出口,中華路1段東側,5,0~24
67,中正,121.506911,25.035549,和平醫院和平院區,中華路2段33號,2,0~24
68,中正,121.517100,25.044725,健保局聯合門診中心,公園路15號之1,2,週一至週五9~18
69,中正,121.516302,25.042227,捷運台大醫院站,公園路西側,3,0~24
70,中正,121.516302,25.028422,集合住宅(和平西路2段)前,和平西路2段21之1號,2,週一至週五8~18
71,中正,121.530379,25.013491,自來水博物館,思源街1號,3,7~22
72,中正,121.517326,25.041192,臺大醫院常德院區,常德街,3,8~18
73,中正,121.511098,25.037903,法庭大廈,博愛路127號,5,週一至週五8~18
74,中正,121.511002,25.036808,法庭大廈,博愛路131號,5,週一至週五8~18
75,中正,121.517453,25.034756,捷運中正紀念堂站(近5號出口)國家劇院南側,愛國東路,6,0~24
76,中正,121.517453,25.034756,捷運中正紀念堂站(近5號出口)國家劇院北側,愛國東路,6,0~24
77,中正,121.519247,25.037765,捷運中正紀念堂站之國家音樂廳劇院路側,信義路1段,16,0~24
78,中正,121.520362,25.043000,中央聯合辦公大樓北棟(外交部領事事務局),濟南路1段2之2號,5,週一至週五8~18
79,中正,121.519594,25.041689,中央聯合辦公大樓南棟,徐州路5號,2,週一至週五7~20
80,中正,121.508806,25.041969,捷運西門站寶慶路,遠東百貨大門西側,2,0~24
81,中正,121.509584,25.045201,台糖會館,漢口街1段144號對面,2,7~19
82,中正,121.520949,25.023257,頂好超市斜對面,廈門街113巷41號對面,2,週一至週五8~20
83,中正,121.509825,25.039097,臺灣高等法院,貴陽街1段,4,0~24
84,中正,121.508133,25.035618,內政部出入境管理局,廣州街15號,3,週一至週五9~16
85,中正,121.508052,25.029631,集合住宅前,汀州路1段75號,1,週一至周六9~17
86,中正,121.525027,25.037998,交通部,杭州南路(鄰仁愛路交叉路口),1,週一至週五0830~1730
87,中正,121.523792,25.038325,中華電信台北南區服務中心,仁愛路1段42號,2,週一至週五0830~1730
88,中正,121.518673,25.028798,郵政醫院前,福州街14號,1,9~17
89,中正,121.516186,25.046328,台北凱撒大飯店(南陽街),南陽街,3,0~24
90,中正,121.525312,25.044426,和逸飯店,忠孝東路1段31號,3,9~17
91,中正,121.527986,25.034071,捷運東門站1號出口旁,信義路2段139號,2,9~16
92,中正,121.517151,25.027959,經濟部,福州街15號,3,7~18
93,中正,121.519816,25.04159,台大醫院急診室,徐州路2號,3,0~24
94,中正,121.505576,25.030477,日昇合作社前,西藏路80號,1,0~24
