year,months,organ,kind,number,numofpeople
113,1,總　　　計,總計,2814,2814
113,1,板橋分局,總計,457,457
113,1,海山分局,總計,135,135
113,1,中和分局,總計,268,268
113,1,永和分局,總計,34,34
113,1,三重分局,總計,305,305
113,1,新莊分局,總計,369,369
113,1,土城分局,總計,269,269
113,1,新店分局,總計,386,386
113,1,蘆洲分局,總計,198,198
113,1,三峽分局,總計,148,148
113,1,樹林分局,總計,23,23
113,1,汐止分局,總計,87,87
113,1,淡水分局,總計,59,59
113,1,瑞芳分局,總計,39,39
113,1,金山分局,總計,6,6
113,1,林口分局,總計,31,31
113,1,總　　　計,罰鍰,1874,1874
113,1,板橋分局,罰鍰,334,334
113,1,海山分局,罰鍰,82,82
113,1,中和分局,罰鍰,137,137
113,1,永和分局,罰鍰,34,34
113,1,三重分局,罰鍰,280,280
113,1,新莊分局,罰鍰,122,122
113,1,土城分局,罰鍰,97,97
113,1,新店分局,罰鍰,386,386
113,1,蘆洲分局,罰鍰,117,117
113,1,三峽分局,罰鍰,86,86
113,1,樹林分局,罰鍰,18,18
113,1,汐止分局,罰鍰,87,87
113,1,淡水分局,罰鍰,59,59
113,1,瑞芳分局,罰鍰,4,4
113,1,金山分局,罰鍰,0,0
113,1,林口分局,罰鍰,31,31
113,1,總　　　計,没入攤架,0,0
113,1,板橋分局,没入攤架,0,0
113,1,海山分局,没入攤架,0,0
113,1,中和分局,没入攤架,0,0
113,1,永和分局,没入攤架,0,0
113,1,三重分局,没入攤架,0,0
113,1,新莊分局,没入攤架,0,0
113,1,土城分局,没入攤架,0,0
113,1,新店分局,没入攤架,0,0
113,1,蘆洲分局,没入攤架,0,0
113,1,三峽分局,没入攤架,0,0
113,1,樹林分局,没入攤架,0,0
113,1,汐止分局,没入攤架,0,0
113,1,淡水分局,没入攤架,0,0
113,1,瑞芳分局,没入攤架,0,0
113,1,金山分局,没入攤架,0,0
113,1,林口分局,没入攤架,0,0
113,1,總　　　計,拆除攤架,0,0
113,1,板橋分局,拆除攤架,0,0
113,1,海山分局,拆除攤架,0,0
113,1,中和分局,拆除攤架,0,0
113,1,永和分局,拆除攤架,0,0
113,1,三重分局,拆除攤架,0,0
113,1,新莊分局,拆除攤架,0,0
113,1,土城分局,拆除攤架,0,0
113,1,新店分局,拆除攤架,0,0
